load_zone,fuel,period,fuel_cost
Caribe,GASIMPOR,2023,12.71695593
Caribe,GASIMPOR,2024,11.60055475
Caribe,GASIMPOR,2025,11.50613963
Caribe,GASIMPOR,2026,11.39348985
Caribe,GASIMPOR,2027,11.22522453
Caribe,GASIMPOR,2028,11.0175008
Caribe,GASIMPOR,2029,10.86124731
Caribe,GASIMPOR,2030,10.85374251
Caribe,GASIMPOR,2031,10.91014738
Caribe,GASIMPOR,2032,10.96810324
Caribe,GASIMPOR,2033,11.02450789
Caribe,GASIMPOR,2034,11.01019436
Caribe,GASIMPOR,2035,10.95382675
Caribe,GASIMPOR,2036,10.89583364
Caribe,GASIMPOR,2037,10.80323795
Caribe,GASIMPOR,2038,10.72510572
Caribe,GASIMPOR,2039,10.70328591
Caribe,GASIMPOR,2040,10.66711215
Caribe,GASIMPOR,2041,10.6107452
Caribe,GASIMPOR,2042,10.55275139
Caribe,GASIMPOR,2043,10.46015289
Caribe,GASIMPOR,2044,10.34579114
Caribe,GASIMPOR,2045,10.23142935
Caribe,GASIMPOR,2046,10.11706751
Caribe,GASIMPOR,2047,9.929975363
Caribe,GASIMPOR,2048,9.666543188
Caribe,GASIMPOR,2049,9.452602918
Caribe,GASIMPOR,2050,9.280195377
Caribe,GASNACIO,2023,7.231771971
Caribe,GASNACIO,2024,7.846505071
Caribe,GASNACIO,2025,7.792324564
Caribe,GASNACIO,2026,7.72768003
Caribe,GASNACIO,2027,7.631120289
Caribe,GASNACIO,2028,7.51191718
Caribe,GASNACIO,2029,7.422250478
Caribe,GASNACIO,2030,7.417943816
Caribe,GASNACIO,2031,7.450311982
Caribe,GASNACIO,2032,7.483570189
Caribe,GASNACIO,2033,7.515938226
Caribe,GASNACIO,2034,7.507724351
Caribe,GASNACIO,2035,7.475377566
Caribe,GASNACIO,2036,7.442097981
Caribe,GASNACIO,2037,7.388961566
Caribe,GASNACIO,2038,7.344125071
Caribe,GASNACIO,2039,7.331603681
Caribe,GASNACIO,2040,7.310845222
Caribe,GASNACIO,2041,7.278498818
Caribe,GASNACIO,2042,7.245218833
Caribe,GASNACIO,2043,7.192080807
Caribe,GASNACIO,2044,7.126453846
Caribe,GASNACIO,2045,7.060826865
Caribe,GASNACIO,2046,6.995199861
Caribe,GASNACIO,2047,6.887836265
Caribe,GASNACIO,2048,6.736664636
Caribe,GASNACIO,2049,6.613894138
Caribe,GASNACIO,2050,6.514957367
Nordeste,GASNACIO,2023,4.615199959
Nordeste,GASNACIO,2024,4.697138542
Nordeste,GASNACIO,2025,4.654301559
Nordeste,GASNACIO,2026,4.603191354
Nordeste,GASNACIO,2027,4.526847883
Nordeste,GASNACIO,2028,4.432601781
Nordeste,GASNACIO,2029,4.361708185
Nordeste,GASNACIO,2030,4.358303189
Nordeste,GASNACIO,2031,4.38389458
Nordeste,GASNACIO,2032,4.410189669
Nordeste,GASNACIO,2033,4.435780959
Nordeste,GASNACIO,2034,4.429286785
Nordeste,GASNACIO,2035,4.403712298
Nordeste,GASNACIO,2036,4.377400307
Nordeste,GASNACIO,2037,4.335388819
Nordeste,GASNACIO,2038,4.299939535
Nordeste,GASNACIO,2039,4.290039691
Nordeste,GASNACIO,2040,4.273627335
Nordeste,GASNACIO,2041,4.24805315
Nordeste,GASNACIO,2042,4.221740842
Nordeste,GASNACIO,2043,4.17972808
Nordeste,GASNACIO,2044,4.127841135
Nordeste,GASNACIO,2045,4.075954173
Nordeste,GASNACIO,2046,4.024067194
Nordeste,GASNACIO,2047,3.939181821
Nordeste,GASNACIO,2048,3.819660302
Nordeste,GASNACIO,2049,3.7225937
Nordeste,GASNACIO,2050,3.644370866
Antioquia,GASNACIO,2023,7.231771971
Antioquia,GASNACIO,2024,7.846505071
Antioquia,GASNACIO,2025,7.792324564
Antioquia,GASNACIO,2026,7.72768003
Antioquia,GASNACIO,2027,7.631120289
Antioquia,GASNACIO,2028,7.51191718
Antioquia,GASNACIO,2029,7.422250478
Antioquia,GASNACIO,2030,7.417943816
Antioquia,GASNACIO,2031,7.450311982
Antioquia,GASNACIO,2032,7.483570189
Antioquia,GASNACIO,2033,7.515938226
Antioquia,GASNACIO,2034,7.507724351
Antioquia,GASNACIO,2035,7.475377566
Antioquia,GASNACIO,2036,7.442097981
Antioquia,GASNACIO,2037,7.388961566
Antioquia,GASNACIO,2038,7.344125071
Antioquia,GASNACIO,2039,7.331603681
Antioquia,GASNACIO,2040,7.310845222
Antioquia,GASNACIO,2041,7.278498818
Antioquia,GASNACIO,2042,7.245218833
Antioquia,GASNACIO,2043,7.192080807
Antioquia,GASNACIO,2044,7.126453846
Antioquia,GASNACIO,2045,7.060826865
Antioquia,GASNACIO,2046,6.995199861
Antioquia,GASNACIO,2047,6.887836265
Antioquia,GASNACIO,2048,6.736664636
Antioquia,GASNACIO,2049,6.613894138
Antioquia,GASNACIO,2050,6.514957367
Caribe,BIOGAS,2023,7.231771971
Caribe,BIOGAS,2024,7.846505071
Caribe,BIOGAS,2025,7.792324564
Caribe,BIOGAS,2026,7.72768003
Caribe,BIOGAS,2027,7.631120289
Caribe,BIOGAS,2028,7.51191718
Caribe,BIOGAS,2029,7.422250478
Caribe,BIOGAS,2030,7.417943816
Caribe,BIOGAS,2031,7.450311982
Caribe,BIOGAS,2032,7.483570189
Caribe,BIOGAS,2033,7.515938226
Caribe,BIOGAS,2034,7.507724351
Caribe,BIOGAS,2035,7.475377566
Caribe,BIOGAS,2036,7.442097981
Caribe,BIOGAS,2037,7.388961566
Caribe,BIOGAS,2038,7.344125071
Caribe,BIOGAS,2039,7.331603681
Caribe,BIOGAS,2040,7.310845222
Caribe,BIOGAS,2041,7.278498818
Caribe,BIOGAS,2042,7.245218833
Caribe,BIOGAS,2043,7.192080807
Caribe,BIOGAS,2044,7.126453846
Caribe,BIOGAS,2045,7.060826865
Caribe,BIOGAS,2046,6.995199861
Caribe,BIOGAS,2047,6.887836265
Caribe,BIOGAS,2048,6.736664636
Caribe,BIOGAS,2049,6.613894138
Caribe,BIOGAS,2050,6.514957367
Nordeste,BIOGAS,2023,4.615199959
Nordeste,BIOGAS,2024,4.697138542
Nordeste,BIOGAS,2025,4.654301559
Nordeste,BIOGAS,2026,4.603191354
Nordeste,BIOGAS,2027,4.526847883
Nordeste,BIOGAS,2028,4.432601781
Nordeste,BIOGAS,2029,4.361708185
Nordeste,BIOGAS,2030,4.358303189
Nordeste,BIOGAS,2031,4.38389458
Nordeste,BIOGAS,2032,4.410189669
Nordeste,BIOGAS,2033,4.435780959
Nordeste,BIOGAS,2034,4.429286785
Nordeste,BIOGAS,2035,4.403712298
Nordeste,BIOGAS,2036,4.377400307
Nordeste,BIOGAS,2037,4.335388819
Nordeste,BIOGAS,2038,4.299939535
Nordeste,BIOGAS,2039,4.290039691
Nordeste,BIOGAS,2040,4.273627335
Nordeste,BIOGAS,2041,4.24805315
Nordeste,BIOGAS,2042,4.221740842
Nordeste,BIOGAS,2043,4.17972808
Nordeste,BIOGAS,2044,4.127841135
Nordeste,BIOGAS,2045,4.075954173
Nordeste,BIOGAS,2046,4.024067194
Nordeste,BIOGAS,2047,3.939181821
Nordeste,BIOGAS,2048,3.819660302
Nordeste,BIOGAS,2049,3.7225937
Nordeste,BIOGAS,2050,3.644370866
Antioquia,BIOGAS,2023,7.231771971
Antioquia,BIOGAS,2024,7.846505071
Antioquia,BIOGAS,2025,7.792324564
Antioquia,BIOGAS,2026,7.72768003
Antioquia,BIOGAS,2027,7.631120289
Antioquia,BIOGAS,2028,7.51191718
Antioquia,BIOGAS,2029,7.422250478
Antioquia,BIOGAS,2030,7.417943816
Antioquia,BIOGAS,2031,7.450311982
Antioquia,BIOGAS,2032,7.483570189
Antioquia,BIOGAS,2033,7.515938226
Antioquia,BIOGAS,2034,7.507724351
Antioquia,BIOGAS,2035,7.475377566
Antioquia,BIOGAS,2036,7.442097981
Antioquia,BIOGAS,2037,7.388961566
Antioquia,BIOGAS,2038,7.344125071
Antioquia,BIOGAS,2039,7.331603681
Antioquia,BIOGAS,2040,7.310845222
Antioquia,BIOGAS,2041,7.278498818
Antioquia,BIOGAS,2042,7.245218833
Antioquia,BIOGAS,2043,7.192080807
Antioquia,BIOGAS,2044,7.126453846
Antioquia,BIOGAS,2045,7.060826865
Antioquia,BIOGAS,2046,6.995199861
Antioquia,BIOGAS,2047,6.887836265
Antioquia,BIOGAS,2048,6.736664636
Antioquia,BIOGAS,2049,6.613894138
Antioquia,BIOGAS,2050,6.514957367
Caribe,CARBON,2023,4.133101495
Caribe,CARBON,2024,4.727565946
Caribe,CARBON,2025,4.906700205
Caribe,CARBON,2026,4.162207264
Caribe,CARBON,2027,4.161483554
Caribe,CARBON,2028,4.114767112
Caribe,CARBON,2029,3.956458849
Caribe,CARBON,2030,3.95060436
Caribe,CARBON,2031,3.950982301
Caribe,CARBON,2032,3.957308094
Caribe,CARBON,2033,3.945212869
Caribe,CARBON,2034,3.969336837
Caribe,CARBON,2035,4.035975654
Caribe,CARBON,2036,4.187527454
Caribe,CARBON,2037,4.236105388
Caribe,CARBON,2038,4.221909552
Caribe,CARBON,2039,4.241287664
Caribe,CARBON,2040,4.231984707
Caribe,CARBON,2041,4.125611273
Caribe,CARBON,2042,3.883120781
Caribe,CARBON,2043,3.827614726
Caribe,CARBON,2044,3.849735487
Caribe,CARBON,2045,4.00773739
Caribe,CARBON,2046,4.231563012
Caribe,CARBON,2047,4.242597771
Caribe,CARBON,2048,4.162827328
Caribe,CARBON,2049,4.239434101
Caribe,CARBON,2050,4.338249765
Surocciden,CARBON,2023,2.716045919
Surocciden,CARBON,2024,2.470331948
Surocciden,CARBON,2025,2.972969432
Surocciden,CARBON,2026,2.521881193
Surocciden,CARBON,2027,2.521442697
Surocciden,CARBON,2028,2.493137207
Surocciden,CARBON,2029,2.397218238
Surocciden,CARBON,2030,2.393671003
Surocciden,CARBON,2031,2.393899997
Surocciden,CARBON,2032,2.397732795
Surocciden,CARBON,2033,2.390404299
Surocciden,CARBON,2034,2.40502101
Surocciden,CARBON,2035,2.445397466
Surocciden,CARBON,2036,2.537222695
Surocciden,CARBON,2037,2.566656063
Surocciden,CARBON,2038,2.558054806
Surocciden,CARBON,2039,2.569796004
Surocciden,CARBON,2040,2.564159343
Surocciden,CARBON,2041,2.499707684
Surocciden,CARBON,2042,2.352782706
Surocciden,CARBON,2043,2.31915159
Surocciden,CARBON,2044,2.332554557
Surocciden,CARBON,2045,2.428287903
Surocciden,CARBON,2046,2.563903838
Surocciden,CARBON,2047,2.570589798
